MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEST,DEP_DEL15,DISTANCE,DEP_HOUR
7,4,5,WN,Other,ATL,0,696.0,8
9,13,6,DL,ATL,Other,0,577.0,15
5,21,3,HA,SFO,Other,0,2338.0,8
6,1,7,B6,Other,MCO,0,944.0,7
4,30,3,MQ,Other,DFW,1,354.0,18
10,8,3,WN,Other,Other,0,452.0,21
7,18,5,B6,Other,BOS,0,395.0,18
4,11,5,WN,DCA,Other,1,1218.0,12
7,18,5,F9,Other,MCO,0,895.0,17
3,2,7,UA,DEN,Other,0,794.0,17
6,10,2,OO,Other,Other,0,626.0,11
6,4,3,WN,PHX,LAS,0,255.0,6
11,7,5,AA,Other,DFW,0,3784.0,18
7,1,2,WN,Other,Other,1,445.0,15
2,17,1,DL,SLC,Other,0,2994.0,11
10,16,4,OO,PHX,Other,1,438.0,8
7,1,2,WN,LAS,Other,0,700.0,10
9,28,7,DL,ATL,Other,0,2022.0,18
6,25,3,WN,Other,BOS,0,942.0,14
7,24,4,YX,Other,Other,0,265.0,10
10,21,2,NK,MCO,IAH,0,854.0,6
7,29,2,DL,Other,DTW,0,4475.0,15
12,8,1,WN,Other,Other,0,979.0,17
5,5,1,OO,ORD,Other,0,173.0,15
11,3,1,WN,Other,LAS,1,2106.0,16
8,6,3,DL,ATL,Other,0,356.0,22
5,6,2,DL,Other,ATL,0,214.0,10
5,9,5,YX,BOS,Other,0,280.0,8
2,13,4,OO,DEN,Other,0,524.0,17
6,12,4,B6,Other,Other,1,106.0,22
6,27,5,MQ,ORD,Other,0,296.0,19
7,15,2,WN,Other,DCA,1,1184.0,20
3,26,3,OO,Other,DTW,0,489.0,9
7,2,3,YX,ORD,Other,1,740.0,7
8,12,2,WN,LAS,Other,0,226.0,18
6,24,2,OO,ORD,Other,0,693.0,7
9,26,5,AA,MIA,BOS,0,1258.0,19
3,10,1,G4,Other,Other,0,238.0,8
4,3,4,WN,Other,Other,1,738.0,6
5,23,5,DL,MSP,SLC,0,991.0,12
9,28,7,UA,ORD,Other,0,977.0,11
6,5,4,WN,DEN,Other,0,533.0,10
12,26,5,AA,Other,DFW,0,448.0,5
10,30,4,F9,LAS,SFO,0,414.0,15
5,16,5,AA,DFW,Other,0,926.0,7
9,27,6,WN,DEN,Other,0,804.0,9
3,24,1,OO,Other,DEN,0,1048.0,8
11,13,4,F9,Other,DEN,0,819.0,12
4,1,2,AA,BOS,CLT,0,728.0,18
12,24,3,WN,Other,LAS,1,259.0,10
7,26,6,OO,SLC,Other,0,189.0,17
6,14,6,UA,IAH,MCO,1,854.0,14
2,21,5,WN,DEN,LGA,1,1620.0,6
10,25,6,AA,Other,LAX,0,2402.0,19
8,20,3,AS,SEA,BOS,1,2496.0,8
11,26,3,DL,ATL,Other,0,694.0,21
3,30,7,AA,Other,LAS,0,2248.0,7
4,15,2,AA,CLT,Other,0,91.0,23
11,26,3,UA,IAH,Other,0,1117.0,18
5,17,6,OO,Other,DEN,0,649.0,10
11,13,4,WN,Other,LAS,1,775.0,18
9,12,5,MQ,Other,DFW,0,328.0,16
3,28,5,WN,Other,Other,0,327.0,8
11,21,5,B6,Other,Other,0,1032.0,7
6,29,7,AA,CLT,MCO,1,468.0,19
7,21,1,AA,LGA,DFW,0,1389.0,8
3,12,3,WN,Other,Other,0,247.0,17
12,18,4,WN,Other,Other,0,239.0,18
9,1,1,OO,SFO,LAX,1,337.0,14
9,25,4,MQ,Other,ORD,0,978.0,12
12,23,2,WN,Other,Other,0,623.0,21
10,2,4,UA,SFO,PHX,0,651.0,16
3,27,4,OO,PHX,Other,0,1081.0,8
11,5,3,UA,EWR,SFO,1,2565.0,10
10,28,2,AA,SLC,DFW,0,989.0,9
6,23,1,DL,Other,ATL,0,377.0,6
11,17,1,MQ,DFW,Other,0,396.0,21
11,19,3,OO,Other,LAX,0,109.0,6
10,8,3,DL,BOS,Other,0,1185.0,7
11,14,5,OO,ORD,Other,1,403.0,14
7,16,3,OO,SEA,Other,0,399.0,14
12,29,1,B6,LAX,Other,1,2343.0,22
3,21,5,DL,EWR,ATL,0,746.0,6
9,20,6,B6,Other,Other,0,2446.0,10
5,6,2,MQ,Other,DFW,0,404.0,5
7,20,7,DL,MSP,Other,0,1042.0,14
2,17,1,UA,DEN,Other,0,1014.0,17
12,9,2,OO,Other,ORD,0,299.0,13
6,29,7,WN,Other,Other,0,546.0,14
12,15,1,AS,SEA,SFO,0,679.0,11
6,8,7,UA,Other,LAX,1,2288.0,22
7,1,2,WN,Other,Other,1,789.0,13
2,28,5,UA,ORD,Other,0,1041.0,19
1,10,5,WN,Other,MCO,0,479.0,16
10,6,1,DL,CLT,MSP,0,930.0,6
3,16,7,DL,Other,ATL,1,352.0,9
7,6,7,AA,DFW,Other,0,1067.0,11
2,16,7,OO,PHX,LAX,0,370.0,16
5,26,1,WN,Other,Other,0,310.0,11
7,24,4,DL,SEA,SLC,0,689.0,5
6,15,7,WN,Other,Other,0,674.0,9
9,9,2,WN,Other,LGA,0,1107.0,6
12,31,3,NK,MCO,BOS,0,1121.0,8
